1,1,1203.0,226.0,240.0,611.0,1,-1,-1,-1
1,2,1068.0,383.0,125.0,301.0,1,-1,-1,-1
1,3,901.0,390.0,125.0,299.0,1,-1,-1,-1
1,4,650.0,324.0,186.0,420.0,1,-1,-1,-1
2,1,1203.0,226.0,240.0,611.0,1,-1,-1,-1
2,2,1068.0,383.0,125.0,301.0,1,-1,-1,-1
2,3,901.0,390.0,125.0,299.0,1,-1,-1,-1
2,4,650.0,324.0,186.0,420.0,1,-1,-1,-1
3,1,1203.0,226.0,240.0,611.0,1,-1,-1,-1
3,2,1068.0,383.0,125.0,301.0,1,-1,-1,-1
3,3,901.0,390.0,125.0,299.0,1,-1,-1,-1
3,4,650.0,324.0,186.0,420.0,1,-1,-1,-1
4,1,1203.0,226.0,240.0,611.0,1,-1,-1,-1
4,2,1068.0,383.0,125.0,301.0,1,-1,-1,-1
4,3,901.0,390.0,125.0,299.0,1,-1,-1,-1
4,4,650.0,324.0,186.0,420.0,1,-1,-1,-1
5,1,1203.0,226.0,240.0,611.0,1,-1,-1,-1
5,2,1068.0,383.0,125.0,301.0,1,-1,-1,-1
5,3,901.0,390.0,125.0,299.0,1,-1,-1,-1
5,4,650.0,324.0,186.0,420.0,1,-1,-1,-1
6,1,1203.0,226.0,240.0,611.0,1,-1,-1,-1
6,2,1068.0,383.0,125.0,301.0,1,-1,-1,-1
6,3,901.0,390.0,125.0,299.0,1,-1,-1,-1
6,4,650.0,324.0,186.0,420.0,1,-1,-1,-1
7,1,1203.0,226.0,240.0,611.0,1,-1,-1,-1
7,2,1068.0,383.0,125.0,301.0,1,-1,-1,-1
7,3,901.0,390.0,125.0,299.0,1,-1,-1,-1
7,4,650.0,324.0,186.0,420.0,1,-1,-1,-1
8,1,1203.0,226.0,240.0,611.0,1,-1,-1,-1
8,2,1068.0,383.0,125.0,301.0,1,-1,-1,-1
8,3,901.0,390.0,125.0,299.0,1,-1,-1,-1
8,4,650.0,324.0,186.0,420.0,1,-1,-1,-1
9,1,1203.0,226.0,240.0,611.0,1,-1,-1,-1
9,2,1068.0,383.0,125.0,301.0,1,-1,-1,-1
9,3,901.0,390.0,125.0,299.0,1,-1,-1,-1
9,4,650.0,324.0,186.0,420.0,1,-1,-1,-1
10,1,1203.0,226.0,240.0,611.0,1,-1,-1,-1
10,2,1068.0,383.0,125.0,301.0,1,-1,-1,-1
10,3,901.0,390.0,125.0,299.0,1,-1,-1,-1
10,4,650.0,324.0,186.0,420.0,1,-1,-1,-1
11,1,1203.0,226.0,240.0,611.0,1,-1,-1,-1
11,2,1068.0,383.0,125.0,301.0,1,-1,-1,-1
11,3,901.0,390.0,125.0,299.0,1,-1,-1,-1
11,4,650.0,324.0,186.0,420.0,1,-1,-1,-1
